time_start,time_end,estimated,amount_usd,service,tag_lsmc_project,tag_lsmc_project_value
2026-06-01,2026-06-19,True,253.0308404032,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff+us-west-2,dayhoff+us-west-2
2026-06-01,2026-06-19,True,127.2361859231,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-day,dayhoff-day
2026-06-01,2026-06-19,True,139.8680519833,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-ddev96,dayhoff-ddev96
2026-06-01,2026-06-19,True,122.0635887384,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-dev,dayhoff-dev
2026-06-01,2026-06-19,True,118.0643676841,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-inf,dayhoff-inf
2026-06-01,2026-06-19,True,3.2149309352,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-jemdev,dayhoff-jemdev
2026-06-01,2026-06-19,True,18.2036690753,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-jemdev2,dayhoff-jemdev2
2026-06-01,2026-06-19,True,16.8559873745,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-jemdev3,dayhoff-jemdev3
2026-06-01,2026-06-19,True,74.2855639079,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-jemdev5,dayhoff-jemdev5
2026-06-01,2026-06-19,True,91.0623237346,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-joshdev,dayhoff-joshdev
2026-06-01,2026-06-19,True,1.8998115115,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-tailnet-dns,dayhoff-tailnet-dns
2026-06-01,2026-06-19,True,31.285903183,Amazon Elastic Container Service,lsmc-project$,
2026-06-01,2026-06-19,True,5.24745e-05,Amazon Elastic File System,lsmc-project$,
2026-06-01,2026-06-19,True,19.0084592812,Amazon Elastic Load Balancing,lsmc-project$,
2026-06-01,2026-06-19,True,1134.6341404544,Amazon FSx,lsmc-project$,
2026-06-01,2026-06-19,True,1.8058e-06,Amazon Glacier,lsmc-project$,
2026-06-01,2026-06-19,True,7.0660311593,Amazon GuardDuty,lsmc-project$,
2026-06-01,2026-06-19,True,0.0,Amazon Inspector,lsmc-project$,
2026-06-01,2026-06-19,True,1080.7918072714,Amazon Relational Database Service,lsmc-project$,
2026-06-01,2026-06-19,True,0.1964223669,Amazon Relational Database Service,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-06-01,2026-06-19,True,1210.2349666074,Amazon Relational Database Service,lsmc-project$dayhoff+us-west-2,dayhoff+us-west-2
2026-06-01,2026-06-19,True,143.4817760228,Amazon Relational Database Service,lsmc-project$tapdb-us-east-1,tapdb-us-east-1
2026-06-01,2026-06-19,True,142.3342984662,Amazon Relational Database Service,lsmc-project$tapdb-us-west-2,tapdb-us-west-2
2026-06-01,2026-06-19,True,12.1373672,Amazon Route 53,lsmc-project$,
2026-06-01,2026-06-19,True,0.5,Amazon Route 53,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-06-01,2026-06-19,True,0.5,Amazon Route 53,lsmc-project$dayhoff+us-west-2,dayhoff+us-west-2
2026-06-01,2026-06-19,True,2.6115e-06,Amazon Simple Notification Service,lsmc-project$,
